"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Header","0","Проверка элементов","9","0","Проверка наличия элементов","0"
"0","Страница регистрации","0","Проверка элементов","57","0","Проверка наличия элементов","0"
"0","Страница Primary market","0","Проверка элементов","21","0","Проверка наличия и текста элементов","0"
"0","Страница Dashboard","0","Проверка элементов","12","0","Проверка наличия и количества элементов","0"
"0","Sidebar","0","Проверка элементов","36","0","Проверка наличия и текста элементов","0"
"0","Footer","0","Проверка элементов","39","0","Проверка наличия элементов","0"
"0","Footer","0","Проверка элементов","60","0","Проверка наличия и текста элементов","0"
"0","Страница Primary market","0","Проверка элементов","54","0","Проверка наличия элементов","0"
"0","Страница регистрации","0","Регистрация","15","0","Ошибка регистрации пользователя","0"
"0","Страница авторизации","0","Проверка элементов","21","0","Проверка наличия элементов","0"
"0","Страница Dashboard","0","Проверка элементов","129","0","Проверка наличия и текста элементов","0"
"1","Header","0","Проверка элементов","42","0","Проверка работы элементов","0"
"0","Страница Secondary market","0","Проверка элементов","21","0","Проверка наличия элементов","0"
"0","Sidebar","0","Проверка элементов","30","0","Проверка работы элементов","0"
"1","Страница Primary market","0","Проверка элементов","39","0","Проверка работы элементов","0"
"0","Страница регистрации","0","Проверка элементов","15","0","Проверка наличия и текста элементов","0"
"0","Страница авторизации","0","Авторизация","15","0","Ошибка при авторизации с неверными данными","0"
"0","Страница восстановления пароля","0","Проверка элементов","9","0","Проверка наличия элементов","0"
"0","Страница Secondary market","0","Проверка элементов","12","0","Проверка наличия и текста элементов","0"
"0","Страница Secondary market","0","Проверка элементов","15","0","Проверка работы фильтров на странице Secondary market","0"
"0","Sidebar","0","Проверка элементов","15","0","Проверка наличия элементов","0"
"0","Страница востановления пароля","0","Отправка кода","6","0","Ошибка отправки кода на почту","0"
"0","Страница регистрации","0","Регистрация","3","0","Успешная регистрация пользователя","0"
"0","Страница авторизации","0","Проверка элементов","18","0","Проверка наличия и текста элементов","0"
"0","Страница восстановления пароля","0","Проверка элементов","6","0","Проверка наличия и текста элементов","0"
"0","Header","0","Проверка элементов","12","0","Проверка наличия и текста элементов","0"
"0","Страница авторизации","0","Авторизация","3","0","Проверка переходов между страницами","0"
"0","Страница авторизации","0","Авторизация","3","0","Успешная авторизация","0"
"0","Страница авторизации","0","Авторизация","3","0","Сохранение сессии","0"
"0","Страница Dashboard","0","Проверка элементов","3","0","Проверка работы элементов","0"
"0","Страница востановления пароля","0","Отправка кода","3","0","Успешная отправка кода на почту","0"
